
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
65.4498,um^3,Spot,1,3,
65.4498,um^3,Spot,1,15,
65.4498,um^3,Spot,1,18,
65.4498,um^3,Spot,1,40,
65.4498,um^3,Spot,1,41,
65.4498,um^3,Spot,1,44,
65.4498,um^3,Spot,1,63,
65.4498,um^3,Spot,1,64,
65.4498,um^3,Spot,1,66,
65.4498,um^3,Spot,1,70,
65.4498,um^3,Spot,1,73,
65.4498,um^3,Spot,1,74,
65.4498,um^3,Spot,1,76,
65.4498,um^3,Spot,1,80,
65.4498,um^3,Spot,1,81,
65.4498,um^3,Spot,1,82,
65.4498,um^3,Spot,1,83,
65.4498,um^3,Spot,1,84,
65.4498,um^3,Spot,1,85,
65.4498,um^3,Spot,1,86,
65.4498,um^3,Spot,1,87,
65.4498,um^3,Spot,1,88,
65.4498,um^3,Spot,1,90,
65.4498,um^3,Spot,1,91,
65.4498,um^3,Spot,1,92,
65.4498,um^3,Spot,1,93,
65.4498,um^3,Spot,1,94,
65.4498,um^3,Spot,1,95,
65.4498,um^3,Spot,1,96,
65.4498,um^3,Spot,1,97,
65.4498,um^3,Spot,1,98,
65.4498,um^3,Spot,1,99,
65.4498,um^3,Spot,1,100,
65.4498,um^3,Spot,1,101,
65.4498,um^3,Spot,1,102,
65.4498,um^3,Spot,1,103,
65.4498,um^3,Spot,1,104,
65.4498,um^3,Spot,1,105,
65.4498,um^3,Spot,1,106,
65.4498,um^3,Spot,1,107,
65.4498,um^3,Spot,1,108,
65.4498,um^3,Spot,1,109,
65.4498,um^3,Spot,1,110,
65.4498,um^3,Spot,1,111,
65.4498,um^3,Spot,1,122,
65.4498,um^3,Spot,1,125,
65.4498,um^3,Spot,1,128,
65.4498,um^3,Spot,1,130,
65.4498,um^3,Spot,1,131,
65.4498,um^3,Spot,1,132,
65.4498,um^3,Spot,1,133,
65.4498,um^3,Spot,1,134,
65.4498,um^3,Spot,1,135,
65.4498,um^3,Spot,1,136,
65.4498,um^3,Spot,1,137,
65.4498,um^3,Spot,1,138,
65.4498,um^3,Spot,1,139,
65.4498,um^3,Spot,1,140,
65.4498,um^3,Spot,1,141,
65.4498,um^3,Spot,1,142,
65.4498,um^3,Spot,1,143,
65.4498,um^3,Spot,1,144,
65.4498,um^3,Spot,1,145,
65.4498,um^3,Spot,1,146,
65.4498,um^3,Spot,1,147,
65.4498,um^3,Spot,1,150,
65.4498,um^3,Spot,1,151,
65.4498,um^3,Spot,1,152,
65.4498,um^3,Spot,1,154,
65.4498,um^3,Spot,1,155,
65.4498,um^3,Spot,1,156,
65.4498,um^3,Spot,1,157,
65.4498,um^3,Spot,1,158,
65.4498,um^3,Spot,1,159,
65.4498,um^3,Spot,1,160,
65.4498,um^3,Spot,1,161,
65.4498,um^3,Spot,1,162,
65.4498,um^3,Spot,1,163,
65.4498,um^3,Spot,1,164,
65.4498,um^3,Spot,1,167,
65.4498,um^3,Spot,1,168,
65.4498,um^3,Spot,1,169,
65.4498,um^3,Spot,1,170,
65.4498,um^3,Spot,1,171,
65.4498,um^3,Spot,1,172,
65.4498,um^3,Spot,1,173,
65.4498,um^3,Spot,1,174,
65.4498,um^3,Spot,1,175,
65.4498,um^3,Spot,1,233,
65.4498,um^3,Spot,1,234,
65.4498,um^3,Spot,1,238,
65.4498,um^3,Spot,1,240,
65.4498,um^3,Spot,1,246,
65.4498,um^3,Spot,1,247,
65.4498,um^3,Spot,1,248,
65.4498,um^3,Spot,1,253,
65.4498,um^3,Spot,1,262,
65.4498,um^3,Spot,1,263,
65.4498,um^3,Spot,1,264,
65.4498,um^3,Spot,1,267,
65.4498,um^3,Spot,1,269,
65.4498,um^3,Spot,1,270,
65.4498,um^3,Spot,1,271,
65.4498,um^3,Spot,1,273,
65.4498,um^3,Spot,1,274,
65.4498,um^3,Spot,1,275,
65.4498,um^3,Spot,1,276,
65.4498,um^3,Spot,1,277,
65.4498,um^3,Spot,1,278,
65.4498,um^3,Spot,1,279,
65.4498,um^3,Spot,1,280,
65.4498,um^3,Spot,1,281,
65.4498,um^3,Spot,1,282,
65.4498,um^3,Spot,1,283,
65.4498,um^3,Spot,1,284,
65.4498,um^3,Spot,1,285,
65.4498,um^3,Spot,1,286,
65.4498,um^3,Spot,1,288,
65.4498,um^3,Spot,1,292,
65.4498,um^3,Spot,1,294,
65.4498,um^3,Spot,1,296,
65.4498,um^3,Spot,1,297,
65.4498,um^3,Spot,1,298,
65.4498,um^3,Spot,1,299,
65.4498,um^3,Spot,1,300,
65.4498,um^3,Spot,1,301,
65.4498,um^3,Spot,1,302,
65.4498,um^3,Spot,1,303,
65.4498,um^3,Spot,1,304,
65.4498,um^3,Spot,1,306,
65.4498,um^3,Spot,1,308,
65.4498,um^3,Spot,1,309,
65.4498,um^3,Spot,1,310,
65.4498,um^3,Spot,1,311,
65.4498,um^3,Spot,1,312,
65.4498,um^3,Spot,1,313,
65.4498,um^3,Spot,1,314,
65.4498,um^3,Spot,1,315,
65.4498,um^3,Spot,1,316,
65.4498,um^3,Spot,1,317,
65.4498,um^3,Spot,1,318,
65.4498,um^3,Spot,1,320,
65.4498,um^3,Spot,1,321,
65.4498,um^3,Spot,1,322,
65.4498,um^3,Spot,1,366,
65.4498,um^3,Spot,1,374,
65.4498,um^3,Spot,1,376,
65.4498,um^3,Spot,1,389,
65.4498,um^3,Spot,1,390,
65.4498,um^3,Spot,1,391,
65.4498,um^3,Spot,1,392,
65.4498,um^3,Spot,1,393,
65.4498,um^3,Spot,1,394,
65.4498,um^3,Spot,1,395,
65.4498,um^3,Spot,1,396,
65.4498,um^3,Spot,1,398,
65.4498,um^3,Spot,1,399,
65.4498,um^3,Spot,1,400,
65.4498,um^3,Spot,1,401,
65.4498,um^3,Spot,1,402,
65.4498,um^3,Spot,1,403,
65.4498,um^3,Spot,1,404,
65.4498,um^3,Spot,1,405,
65.4498,um^3,Spot,1,406,
65.4498,um^3,Spot,1,407,
65.4498,um^3,Spot,1,408,
65.4498,um^3,Spot,1,409,
65.4498,um^3,Spot,1,410,
65.4498,um^3,Spot,1,411,
65.4498,um^3,Spot,1,412,
65.4498,um^3,Spot,1,413,
65.4498,um^3,Spot,1,414,
65.4498,um^3,Spot,1,416,
65.4498,um^3,Spot,1,421,
65.4498,um^3,Spot,1,423,
65.4498,um^3,Spot,1,425,
65.4498,um^3,Spot,1,426,
65.4498,um^3,Spot,1,427,
65.4498,um^3,Spot,1,428,
65.4498,um^3,Spot,1,429,
65.4498,um^3,Spot,1,431,
65.4498,um^3,Spot,1,432,
65.4498,um^3,Spot,1,434,
65.4498,um^3,Spot,1,435,
65.4498,um^3,Spot,1,436,
65.4498,um^3,Spot,1,437,
65.4498,um^3,Spot,1,438,
65.4498,um^3,Spot,1,439,
65.4498,um^3,Spot,1,440,
65.4498,um^3,Spot,1,441,
65.4498,um^3,Spot,1,442,
65.4498,um^3,Spot,1,443,
65.4498,um^3,Spot,1,444,
65.4498,um^3,Spot,1,445,
65.4498,um^3,Spot,1,446,
65.4498,um^3,Spot,1,512,
65.4498,um^3,Spot,1,514,
65.4498,um^3,Spot,1,517,
65.4498,um^3,Spot,1,518,
65.4498,um^3,Spot,1,519,
65.4498,um^3,Spot,1,520,
65.4498,um^3,Spot,1,521,
65.4498,um^3,Spot,1,522,
65.4498,um^3,Spot,1,523,
65.4498,um^3,Spot,1,524,
65.4498,um^3,Spot,1,525,
65.4498,um^3,Spot,1,526,
65.4498,um^3,Spot,1,527,
65.4498,um^3,Spot,1,528,
65.4498,um^3,Spot,1,529,
65.4498,um^3,Spot,1,530,
65.4498,um^3,Spot,1,531,
65.4498,um^3,Spot,1,547,
65.4498,um^3,Spot,1,550,
65.4498,um^3,Spot,1,551,
65.4498,um^3,Spot,1,552,
65.4498,um^3,Spot,1,554,
65.4498,um^3,Spot,1,557,
65.4498,um^3,Spot,1,558,
65.4498,um^3,Spot,1,559,
65.4498,um^3,Spot,1,560,
65.4498,um^3,Spot,1,603,
65.4498,um^3,Spot,1,53019,
65.4498,um^3,Spot,1,53020,
65.4498,um^3,Spot,1,53022,
65.4498,um^3,Spot,1,53023,
65.4498,um^3,Spot,1,53024,
65.4498,um^3,Spot,1,53025,
65.4498,um^3,Spot,1,53027,
65.4498,um^3,Spot,1,53028,
65.4498,um^3,Spot,1,53029,
65.4498,um^3,Spot,1,53030,
65.4498,um^3,Spot,1,53031,
65.4498,um^3,Spot,1,53032,
65.4498,um^3,Spot,1,53033,
65.4498,um^3,Spot,1,53034,
65.4498,um^3,Spot,1,53035,
65.4498,um^3,Spot,1,53036,
65.4498,um^3,Spot,1,53037,
65.4498,um^3,Spot,1,53038,
65.4498,um^3,Spot,1,53039,
65.4498,um^3,Spot,1,53040,
65.4498,um^3,Spot,1,53041,
65.4498,um^3,Spot,1,53042,
65.4498,um^3,Spot,1,53043,
65.4498,um^3,Spot,1,53044,
65.4498,um^3,Spot,1,53045,
65.4498,um^3,Spot,1,53046,
65.4498,um^3,Spot,1,53048,
65.4498,um^3,Spot,1,53049,
65.4498,um^3,Spot,1,53050,
65.4498,um^3,Spot,1,53052,
65.4498,um^3,Spot,1,53053,
65.4498,um^3,Spot,1,53055,
65.4498,um^3,Spot,1,53056,
65.4498,um^3,Spot,1,53057,
65.4498,um^3,Spot,1,53058,
65.4498,um^3,Spot,1,53059,
65.4498,um^3,Spot,1,53060,
65.4498,um^3,Spot,1,53061,
65.4498,um^3,Spot,1,53062,
65.4498,um^3,Spot,1,53063,
65.4498,um^3,Spot,1,53065,
65.4498,um^3,Spot,1,53066,
65.4498,um^3,Spot,1,53067,
65.4498,um^3,Spot,1,53068,
65.4498,um^3,Spot,1,53069,
65.4498,um^3,Spot,1,53071,
